lemma_key,lemma,entry_id,volume,variant_type
adler,Adler,Bd01_A-B:0062:0072,Bd01_A-B,primary
adler,Adler,Bd01_A-B:0063:0073,Bd01_A-B,primary
adorno,Adorno,Bd01_A-B:0063:0074,Bd01_A-B,primary
adrastos,Adrastos,Bd01_A-B:0066:0075,Bd01_A-B,primary
advaita,Advaita,Bd01_A-B:0067:0076,Bd01_A-B,primary
aegidius,Aegidius,Bd01_A-B:0067:0077,Bd01_A-B,primary
aetios,Aëtios,Bd01_A-B:0069:0078,Bd01_A-B,primary
affekt,Affekt,Bd01_A-B:0069:0079,Bd01_A-B,primary
affektion,Affektion,Bd01_A-B:0070:0080,Bd01_A-B,slash_half
affektion/affizieren,Affektion/affizieren,Bd01_A-B:0070:0080,Bd01_A-B,primary
affinitat,Affinität,Bd01_A-B:0070:0081,Bd01_A-B,primary
affirmation,Affirmation,Bd01_A-B:0070:0082,Bd01_A-B,primary
affirmativ,affirmativ,Bd01_A-B:0070:0083,Bd01_A-B,primary
affizieren,affizieren,Bd01_A-B:0070:0080,Bd01_A-B,slash_half
agere sequitur esse,agere sequitur esse,Bd01_A-B:0071:0085,Bd01_A-B,primary
aggregat,Aggregat,Bd01_A-B:0071:0086,Bd01_A-B,primary
aggression,Aggression,Bd01_A-B:0072:0087,Bd01_A-B,primary
agnostizismus,Agnostizismus,Bd01_A-B:0073:0088,Bd01_A-B,primary
agricola,Agricola,Bd01_A-B:0074:0089,Bd01_A-B,primary
agrippa,Agrippa,Bd01_A-B:0074:0090,Bd01_A-B,primary
agrippa von nettesheim,Agrippa von Nettesheim,Bd01_A-B:0074:0091,Bd01_A-B,primary
aham. kāra,aham. kāra,Bd01_A-B:0075:0092,Bd01_A-B,primary
ahim. sā,ahim. sā,Bd01_A-B:0075:0093,Bd01_A-B,primary
ahnlich,ähnlich,Bd01_A-B:0076:0094,Bd01_A-B,slash_half
ahnlich/ahnlichkeit,ähnlich/Ähnlichkeit,Bd01_A-B:0076:0094,Bd01_A-B,primary
ahnliche mengen,ähnliche Mengen,Bd05_Log-N:0350:0243,Bd05_Log-N,comma_inverted
ahnlichkeit,Ähnlichkeit,Bd01_A-B:0076:0094,Bd01_A-B,slash_half
ahnlichkeitserinnerung,Ähnlichkeitserinnerung,Bd01_A-B:0076:0095,Bd01_A-B,primary
ahnung,Ahnung,Bd01_A-B:0076:0096,Bd01_A-B,primary
ailly,Ailly,Bd01_A-B:0078:0097,Bd01_A-B,primary
ainesidemos,Ainesidemos,Bd01_A-B:0079:0098,Bd01_A-B,primary
aisthesis,Aisthesis,Bd01_A-B:0080:0099,Bd01_A-B,primary
ajdukiewicz,Ajdukiewicz,Bd01_A-B:0080:0100,Bd01_A-B,primary
ajīva,ajīva,Bd01_A-B:0080:0101,Bd01_A-B,primary
akademie,Akademie,Bd01_A-B:0080:0102,Bd01_A-B,primary
akosmismus,Akosmismus,Bd01_A-B:0082:0104,Bd01_A-B,primary
akrasie,Akrasie,Bd01_A-B:0083:0105,Bd01_A-B,primary
akt,Akt,Bd01_A-B:0087:0107,Bd01_A-B,primary
akt und potenz,Akt und Potenz,Bd01_A-B:0089:0112,Bd01_A-B,primary
aktual-unendlich,aktual-unendlich,Bd01_A-B:0089:0111,Bd01_A-B,primary
aktualisierung,Aktualisierung,Bd01_A-B:0088:0108,Bd01_A-B,primary
aktualismus,Aktualismus,Bd01_A-B:0088:0109,Bd01_A-B,primary
aktualitatstheorie,Aktualitätstheorie,Bd01_A-B:0088:0110,Bd01_A-B,primary
akzidens,Akzidens,Bd01_A-B:0090:0113,Bd01_A-B,primary
al- bitrudschi,al- Bitrudschi,Bd01_A-B:0502:0631,Bd01_A-B,comma_inverted
al- chaijām,al- Chaijām,Bd02_C-F:0055:0047,Bd02_C-F,comma_inverted
al- farabi,al- Farabi,Bd02_C-F:0493:0549,Bd02_C-F,comma_inverted
al- farghani,al- Farghani,Bd02_C-F:0495:0550,Bd02_C-F,comma_inverted
al- ghasali,al- Ghasali,Bd03_G-Inn:0157:0115,Bd03_G-Inn,comma_inverted
al- …,al- (…),Bd01_A-B:0091:0114,Bd01_A-B,primary
al-haitham,al-Haitham,Bd03_G-Inn:0277:0209,Bd03_G-Inn,primary
al-haitham,al-Haitham,Bd01_A-B:0120:0144,Bd03_G-Inn,redirect_alias
al-kindī,al-Kindī,Bd04_Ins-Loc:0230:0153,Bd04_Ins-Loc,primary
al-ṫūsī,al-Ṫūsī,Bd08_Th-Z:0153:0105,Bd08_Th-Z,primary
alain,Alain,Bd01_A-B:0091:0115,Bd01_A-B,primary
alanus ab insulis,Alanus ab Insulis,Bd01_A-B:0091:0116,Bd01_A-B,primary
albatenius,Albatenius,Bd01_A-B:0092:0117,Bd01_A-B,primary
albert,Albert,Bd01_A-B:0093:0118,Bd01_A-B,primary
albert von sachsen,Albert von Sachsen,Bd01_A-B:0097:0122,Bd01_A-B,primary
alberti,Alberti,Bd01_A-B:0094:0119,Bd01_A-B,primary
albertinismus,Albertinismus,Bd01_A-B:0095:0120,Bd01_A-B,primary
albertus magnus,Albertus Magnus,Bd01_A-B:0095:0121,Bd01_A-B,primary
albinos,Albinos,Bd01_A-B:0098:0123,Bd01_A-B,primary
albumasar,Albumasar,Bd01_A-B:0098:0124,Bd01_A-B,primary
alchemie,Alchemie,Bd01_A-B:0099:0125,Bd01_A-B,primary
alembert,Alembert,Bd01_A-B:0107:0126,Bd01_A-B,primary
alembertsches prinzip,Alembertsches Prinzip,Bd01_A-B:0108:0127,Bd01_A-B,primary
alembertsches prinzip,Alembertsches Prinzip,Bd02_C-F:0122:0144,Bd01_A-B,redirect_alias
aleph,Aleph,Bd01_A-B:0108:0128,Bd01_A-B,primary
alexander,Alexander,Bd01_A-B:0108:0129,Bd01_A-B,primary
alexander,Alexander,Bd01_A-B:0109:0131,Bd01_A-B,primary
alexander neckham,Alexander Neckham,Bd01_A-B:0109:0130,Bd01_A-B,primary
alexander von hales,Alexander von Hales,Bd01_A-B:0111:0132,Bd01_A-B,primary
alexandrinische schule,Alexandrinische Schule,Bd01_A-B:0111:0133,Bd01_A-B,primary
alexandrismus,Alexandrismus,Bd01_A-B:0112:0134,Bd01_A-B,primary
alfraganus,Alfraganus,Bd01_A-B:0112:0135,Bd01_A-B,primary
algazel,Algazel,Bd01_A-B:0112:0136,Bd01_A-B,primary
algebra,Algebra,Bd01_A-B:0113:0137,Bd01_A-B,primary
algebra der logik,Algebra der Logik,Bd01_A-B:0115:0140,Bd01_A-B,primary
"algebra, boolesche","Algebra, Boolesche",Bd01_A-B:0115:0138,Bd01_A-B,primary
"algebra, boolesche","Algebra, Boolesche",Bd01_A-B:0529:0663,Bd01_A-B,redirect_alias
"algebra, polyadische","Algebra, polyadische",Bd01_A-B:0115:0139,Bd01_A-B,primary
"algebra, polyadische","Algebra, polyadische",Bd05_Log-N:0025:0006,Bd01_A-B,redirect_alias
algebraische logik,algebraische Logik,Bd05_Log-N:0025:0006,Bd05_Log-N,comma_inverted
algebraisierung,Algebraisierung,Bd01_A-B:0116:0141,Bd01_A-B,primary
algorithmentheorie,Algorithmentheorie,Bd01_A-B:0116:0142,Bd01_A-B,primary
algorithmus,Algorithmus,Bd01_A-B:0120:0143,Bd01_A-B,primary
alhazen,Alhazen,Bd01_A-B:0120:0144,Bd01_A-B,primary
alkuin,Alkuin,Bd01_A-B:0121:0145,Bd01_A-B,primary
all,All,Bd01_A-B:0122:0146,Bd01_A-B,primary
allaussage,Allaussage,Bd01_A-B:0122:0147,Bd01_A-B,primary
alle,alle,Bd01_A-B:0123:0148,Bd01_A-B,primary
allegorese,Allegorese,Bd01_A-B:0123:0149,Bd01_A-B,primary
allegorie,Allegorie,Bd01_A-B:0124:0150,Bd01_A-B,primary
allgegenwart,Allgegenwart,Bd01_A-B:0125:0151,Bd01_A-B,primary
allgemein ethisch,allgemein (ethisch),Bd01_A-B:0125:0152,Bd01_A-B,primary
allgemeinbegriff,Allgemeinbegriff,Bd01_A-B:0125:0153,Bd01_A-B,primary
allgemeine relativitatstheorie,allgemeine Relativitätstheorie,Bd07_Re-Te:0101:0079,Bd07_Re-Te,comma_inverted
"allgemeine, das","Allgemeine, das",Bd01_A-B:0125:0154,Bd01_A-B,primary
allgemeiner multiplikationssatz,allgemeiner Multiplikationssatz,Bd05_Log-N:0495:0392,Bd05_Log-N,comma_inverted
allgemeingultig,allgemeingültig,Bd01_A-B:0126:0155,Bd01_A-B,slash_half
allgemeingultig/allgemeingultigkeit,allgemeingültig/Allgemeingültigkeit,Bd01_A-B:0126:0155,Bd01_A-B,primary
allgemeingultigkeit,Allgemeingültigkeit,Bd01_A-B:0126:0155,Bd01_A-B,slash_half
allgemeinheit,Allgemeinheit,Bd01_A-B:0126:0156,Bd01_A-B,primary
allgemeinungultig,allgemeinungültig,Bd01_A-B:0127:0157,Bd01_A-B,slash_half
allgemeinungultig/allgemeinungultigkeit,allgemeinungültig/Allgemeinungültigkeit,Bd01_A-B:0127:0157,Bd01_A-B,primary
allgemeinungultigkeit,Allgemeinungültigkeit,Bd01_A-B:0127:0157,Bd01_A-B,slash_half
allgemeinzulassig,allgemeinzulässig,Bd01_A-B:0127:0158,Bd01_A-B,slash_half
allgemeinzulassig/allgemeinzulassigkeit,allgemeinzulässig/Allgemeinzulässigkeit,Bd01_A-B:0127:0158,Bd01_A-B,primary
allgemeinzulassigkeit,Allgemeinzulässigkeit,Bd01_A-B:0127:0158,Bd01_A-B,slash_half
allklasse,Allklasse,Bd01_A-B:0127:0159,Bd01_A-B,primary
allmacht,Allmacht,Bd01_A-B:0127:0160,Bd01_A-B,primary
allmenge,Allmenge,Bd01_A-B:0127:0161,Bd01_A-B,primary
allquantor,Allquantor,Bd01_A-B:0127:0162,Bd01_A-B,primary
alltagssprache,Alltagssprache,Bd01_A-B:0128:0163,Bd01_A-B,primary
allwissenheit,Allwissenheit,Bd01_A-B:0128:0164,Bd01_A-B,primary
alogisch,alogisch,Bd01_A-B:0128:0165,Bd01_A-B,primary
alpetragius,Alpetragius,Bd01_A-B:0128:0166,Bd01_A-B,primary
alphabet,Alphabet,Bd01_A-B:0129:0167,Bd01_A-B,primary
als ob,als ob,Bd01_A-B:0129:0168,Bd01_A-B,primary
alsted,Alsted,Bd01_A-B:0130:0169,Bd01_A-B,primary
